timestamp,body_language,tone,facial_expression,overall,scenario
2025-03-24 17:28:48.216597,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:48.377334,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:48.533661,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:48.689761,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:48.845021,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:49.002268,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:49.158394,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:49.318057,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:49.470953,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:49.631655,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:49.801267,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:49.957453,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:50.121223,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:50.336766,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:50.552673,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:50.758103,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:50.956733,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:51.166439,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:51.322866,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:51.473934,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:51.637666,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:51.788218,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:51.949152,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:52.118821,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:52.272858,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:52.426244,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:52.587236,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:52.742505,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:52.898466,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:53.058531,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:53.214974,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:53.370454,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:53.525819,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:53.678950,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:53.832828,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:53.989266,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:54.150478,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:54.310367,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:54.476993,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:54.632771,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:54.790186,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:54.943669,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:55.099912,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:55.259671,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:55.416668,54.0,10,62.0,42.0,Job Interview
2025-03-24 17:28:55.571928,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:55.728111,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:55.880378,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:56.036358,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:56.193849,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:56.347958,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:56.506863,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:56.662901,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:56.834554,54.0,10,44.0,36.0,Job Interview
2025-03-24 17:28:56.986810,68.0,10,44.0,40.666666666666664,Job Interview
2025-03-24 17:28:57.149968,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:57.301647,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:57.460776,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:57.621073,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:57.787747,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:57.946708,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:58.099876,68.0,10,62.0,46.666666666666664,Job Interview
2025-03-24 17:28:58.262829,68.0,10,62.0,46.666666666666664,Job Interview
